equation_id,equation_name,equation_text,symbols,units,source_id,page,attribution_class,implemented_in,test_reference,confidence,verification_status,disposition
EQ-001,sectional density,SD=(Wb/7000)/d^2,Wb;d,lb/in^2 convention,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-002,mass ratio,MR=Wc/Wb,Wc;Wb,dimensionless,SRC-POWLEY-1961-MANUAL,pp.4-5; p.9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-003,standard IMR charge,Wc=0.86*V0,Wc;V0,gr powder; gr water,SRC-POWLEY-1961-MANUAL,p.3; p.9,original_powley,src/modern_powley/original/charge.py,tests/reference/test_powley_1961_example.py,high,verified_visual_scan,active
EQ-004,4198/4227 charge,Wc=0.80*V0,Wc;V0,gr powder; gr water,SRC-POWLEY-1961-MANUAL,p.3,original_powley,src/modern_powley/original/charge.py,tests/unit/test_units_and_charge.py,high,verified_visual_scan,active
EQ-005,water volume convention,Wwater=253*Vin3,Wwater;Vin3,gr water; in3,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/units.py,tests/unit/test_units_and_charge.py,high,verified_visual_scan,active
EQ-006,net powder-space capacity,V0=Vfired-Vintrusion,V0;Vfired;Vintrusion,gr water,,manual pp. 3; 8-9; SRC-HUTTON-POWLEY-1963-WEB,unknown,,tests/provenance/test_original_coverage.py,high,unresolved,removed from original; a direct seated-bullet water-displacement fixture is documented but no original source prints this generic subtraction equation
EQ-007,cylindrical intrusion,Vintrusion=pi*(d/2)^2*s*253,d;s;Vintrusion,in; gr water,,,unknown,,none,medium,contradicted,removed from original; unsupported approximation
EQ-008,projectile travel,Ltravel=Ltip+Lbullet,Ltip;Lbullet,in,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/geometry.py,tests/reference/test_powley_1961_example.py,high,verified_visual_scan,active
EQ-009,barrel volume,Vb=pi*(deff/2)^2*Ltravel*253,deff;Ltravel;Vb,in; gr water,SRC-POWLEY-1961-MANUAL,pp.5;9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,medium,verified_visual_scan,effective diameter input must be explicit
EQ-010,barrel volume ratio,Rb=Vb/V0,Vb;V0,dimensionless,SRC-POWLEY-1961-MANUAL,manual p.5; scan p.5,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-011,total expansion ratio,ER=(V0+Vb)/V0=1+Vb/V0,V0;Vb,dimensionless,SRC-POWLEY-1961-MANUAL,p.5,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,medium,verified_visual_scan,active
EQ-012,Davis empirical powder-selection index,X=20+12/(Z*sqrt(A)),X;Z;A,arbitrary index,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,davis_empirical_powder_selection; not original Powley
